vehicle_id,image_file,source_image,x_center,y_center,width,height,theta_deg,class_id
001_0000,001_0000.jpg,1.png,874.25024,685.750272,9.499648,21.499904,57.287735,10
001_0001,001_0001.jpg,1.png,917.499904,659.250176,10.000384,21.999616,59.26918,10
001_0002,001_0002.jpg,1.png,682.749952,800.499712,9.749504,19.749888,59.107204,10
001_0003,001_0003.jpg,1.png,894.249984,672.749568,10.000384,21.999616,58.701675,10
001_0004,001_0004.jpg,1.png,703.250432,788.50048,9.749504,19.999744,58.999477,10
001_0005,001_0005.jpg,1.png,723.250176,777.249792,8.75008,19.00032,57.683575,10
001_0006,001_0006.jpg,1.png,853.74976,697.499648,9.249792,20.50048,57.9754,10
001_0007,001_0007.jpg,1.png,956.749824,635.7504,10.25024,19.749888,55.632725,10
001_0008,001_0008.jpg,1.png,663.24992,812.499968,9.249792,21.000192,53.755352,10
001_0009,001_0009.jpg,1.png,977.000448,622.49984,9.499648,21.499904,61.1355,10
001_0010,001_0010.jpg,1.png,950.750208,743.499776,20.50048,9.249792,58.422867,10
001_0011,001_0011.jpg,1.png,793.749504,716.250112,11.7504,30.249984,58.94897,9
001_0012,001_0012.jpg,1.png,944.499712,880.249856,10.25024,24.500224,58.296684,9
001_0013,001_0013.jpg,1.png,1020.749824,705.000448,21.250048,8.75008,67.73157,10
001_0014,001_0014.jpg,1.png,741.74976,764.250112,8.500224,19.749888,56.879105,10
001_0015,001_0015.jpg,1.png,878.999552,893.249536,10.999808,27.49952,59.042133,9
001_0016,001_0016.jpg,1.png,763.7504,752.0,7.999488,20.2496,58.60485,10
001_0017,001_0017.jpg,1.png,619.249664,839.000064,8.75008,20.50048,55.88292,9
002_0000,002_0000.jpg,2.png,153.249792,940.749824,10.500096,21.999616,16.734303,10
002_0001,002_0001.jpg,2.png,277.000192,1014.250496,10.25024,21.250048,10.652318,10
002_0002,002_0002.jpg,2.png,204.749824,970.999808,10.25024,20.750336,14.938294,10
002_0003,002_0003.jpg,2.png,193.50016,966.500352,10.000384,21.999616,14.642924,10
002_0004,002_0004.jpg,2.png,54.750208,866.750464,10.000384,22.500352,54.346188,10
002_0005,002_0005.jpg,2.png,142.249984,934.250496,10.25024,21.74976,17.276676,10
002_0006,002_0006.jpg,2.png,173.750272,951.499776,10.000384,22.500352,15.153718,10
002_0007,002_0007.jpg,2.png,184.500224,955.7504,10.25024,21.000192,14.762052,10
002_0008,002_0008.jpg,2.png,103.000064,906.000384,10.500096,22.500352,16.574507,10
002_0009,002_0009.jpg,2.png,407.499776,743.499776,21.999616,10.500096,30.782602,10
002_0010,002_0010.jpg,2.png,256.0,999.24992,10.25024,20.50048,10.4485235,10
002_0011,002_0011.jpg,2.png,122.999808,920.250368,11.249664,23.000064,15.305521,10
002_0012,002_0012.jpg,2.png,334.000128,986.000384,9.749504,21.250048,57.02977,10
002_0013,002_0013.jpg,2.png,313.749504,972.250112,10.000384,21.000192,53.184074,10
002_0014,002_0014.jpg,2.png,34.499584,736.749568,19.999744,9.249792,4.5593204,10
002_0015,002_0015.jpg,2.png,209.000448,912.499712,10.25024,22.250496,53.92154,10
002_0016,002_0016.jpg,2.png,250.500096,936.75008,10.25024,22.250496,49.513535,10
002_0017,002_0017.jpg,2.png,101.999616,725.74976,21.000192,9.249792,61.998764,10
002_0018,002_0018.jpg,2.png,112.499712,913.999872,9.749504,21.999616,16.498798,10
002_0019,002_0019.jpg,2.png,92.499968,895.500288,10.749952,22.250496,20.005062,10
002_0020,002_0020.jpg,2.png,230.500352,924.000256,9.499648,19.749888,48.108936,10
002_0021,002_0021.jpg,2.png,87.24992,750.49984,22.500352,10.25024,62.24993,10
002_0022,002_0022.jpg,2.png,73.749504,775.999488,21.999616,10.000384,58.885216,10
002_0023,002_0023.jpg,2.png,110.000128,712.250368,22.500352,10.749952,57.30503,10
002_0024,002_0024.jpg,2.png,64.499712,783.250432,21.250048,9.249792,64.83325,10
